category,titles,date,descriptions,urls
national,Relieved: Kumaraswamy as nephew Prajwal says he'll appear before SIT,"Monday, 27 May, 2024","Former Karnataka CM and JD(S) leader HD Kumaraswamy has reacted to his nephew Prajwal Revanna's statement that he'll appear before the SIT, saying, ""It has brought us relief."" Prajwal, who is accused of sexually abusing multiple women, reportedly escaped to Germany on April 27. ""I [had]...requested him to return if he has respect towards karyakartas,"" Kumaraswamy added.",https://www.moneycontrol.com/news/india/prajwal-revanna-to-return-to-india-appear-before-sit-on-may-31-12733363.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Girl dies in sleep after bleeding from nose in Tamil Nadu,"Monday, 27 May, 2024",A seven-year-old girl died in her sleep after suddenly starting to bleed from her nose in Tamil Nadu's Salem. Police said she went to sleep after dinner and her mother rushed her to hospital after noticing the bleeding. Police have sent her vital organs for viscera test to determine if any poisonous substances were present in the food.,https://www.latestly.com/india/news/tamil-nadu-shocker-minor-girl-allegedly-dies-in-sleep-after-suddenly-bleeding-from-her-nose-in-salem-case-registered-5992562.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Man shoots DJ for denying alcohol in Ranchi bar,"Monday, 27 May, 2024","A disturbing video surfaced of a man fatally shooting a DJ in a Ranchi bar after a dispute over liquor service. The shooter, among five criminals, concealed his identity with a T-shirt. The DJ, Sandeep, succumbed to his injuries despite being rushed to the hospital. Police are scrutinizing CCTV footage for identification.",https://newskarnataka.com/india/man-shoots-dj-at-point-blank-range-for-denying-alcohol-in-ranchi-bar/27052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Were you doing disco dance with China?: Owaisi after PM's 'mujra' remark,"Monday, 27 May, 2024","AIMIM chief Asaduddin Owaisi criticised PM Narendra Modi over his ""Opposition performing mujra for vote bank"" remark. ""You talked about mujra, so Asaduddin Owaisi wants to ask you that for the last three years, China has occupied 2,000 square kilometres of Indian land, Modi ji, you aren't removing China, so were you doing disco dancing with China?"" he asked.",https://www.hindustantimes.com/india-news/modi-doing-disco-with-china-asaduddin-owaisi-on-pms-mujra-remark-at-opposition-101716815160922-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Gravely disturbed: NCW as BJP claims Balkar masturbated on call,"Monday, 27 May, 2024","National Commission for Women (NCW) has said that it's ""gravely disturbed"" by allegations against Punjab minister Balkar Singh and called for an urgent and impartial investigation by the state police into the matter. This comes as BJP claimed that Balkar masturbated on a video call with a female job seeker. The NCW also sought a comprehensive report in three days.",https://news.abplive.com/news/india/punjab-minister-balkar-singh-video-ncw-aap-bhagwant-mann-bjp-tajinder-bagga-congress-shiromani-akali-dal-charanjit-singh-channi-1690676/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,"Indore administration removes loudspeakers, gets criticised","Monday, 27 May, 2024","Over 400 loudspeakers removed from religious sites in Indore prompted criticism from Muslim leaders. Police followed state government directive, taking down 437 loudspeakers in 48 hours. Shahar Qazi demands adherence to noise limits. Indore Collector states removal is mandated by the state, echoing the Chief Minister's order banning loudspeakers exceeding permitted volumes.",https://newskarnataka.com/india/indore-admin-removes-loudspeakers-triggers-backlash-from-muslim-leaders/27052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"K'taka farmer sells 1,800 kg mangoes via online portal in 2 months","Monday, 27 May, 2024","Gudipadu Anjaneya, a farmer from Karnataka's Raichur, has sold 1,800 kg mangoes in two months using an online portal, Local 18 Kannada reported. Anjaneya's portal was launched by Karnataka State Mango Development and Marketing Corporation Limited in collaboration with the India Post. His business has now spread to other states and he aims to formulate work relations with foreign countries.",https://www.news18.com/amp/india/online-business-model-helps-karnataka-farmer-sell-1800-kg-of-mangoes-in-2-months-8905948.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,"SBI alerts customers about fake messages, reward points","Monday, 27 May, 2024",SBI has alerted its crores of customers about receiving many fake messages. Customers are being warned about fake reward point redemption notifications. The bank has advised customers not to click on any link sent through SMS or WhatsApp nor download any application or file. The bank has said that it never sends links on SMS or WhatsApp.,https://www.businessleague.in/sbi-alerts-crores-of-customers-did-you-receive-such-an-sms-on-your-mobile/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Balkar Singh laughs off questions about obscene videos,"Monday, 27 May, 2024","Punjab Minister Balkar Singh laughed when questioned about the viral obscene videos by media on Monday (May 27). After laughing off the serious questions, he agreed to talk to the media, only to say he had ""no comments"" to make on the grave allegations against him. ""I have no comments and (it's) not in my knowledge,"" he said.",https://www.freepressjournal.in/india/punjab-minister-balkar-singh-shamelessly-laughs-when-questioned-about-viral-obscene-videos-ncw-calls-for-urgent-police-probe?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Muslims in Tamil Nadu donate land to Hindus to build a temple,"Monday, 27 May, 2024","In a display of communal harmony, a group of muslims donated a piece of land to their hindu neighbours for the construction of a temple in Ootappalayam village, in Tamil Nadu's Tiruppur district. Muslims donated three cents of land to their neighbours, and the market value of the land donated is said to be ₹6 lakhs.",https://www.timesnownews.com/india/muslim-community-in-tamil-nadu-donates-land-worth-rs-6-lakhs-to-hindus-for-temple-construction-article-110469989?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Mercedes used for driver's kidnapping after Pune Porsche crash seized by police,"Tuesday, 28 May, 2024","Pune Police investigating the Porsche crash case have seized a Mercedes car owned by the accused minor's family and used allegedly to kidnap the driver who was being forced to take the blame for the accident. Earlier, the 17-year-old accused's grandfather was arrested for confining the driver and forced him to take blame. Two 24-year-old techies died in the crash.",
national,Fire breaks out near Neem Karoli Baba Ashram in Nainital,"Tuesday, 28 May, 2024","A fire broke out in the hills near the Neem Karoli Baba Ashram Kainchi Dham in Nainital, Uttarakhand on Tuesday. No injuries were reported in the incident and the extent of the fire hasn't been confirmed. Visuals of the fire in the hills of the forest surfaced on social media. The cause of the fire is yet not known.",https://www.outlookindia.com/amp/story/national/fire-breaks-out-in-hills-near-neem-karoli-baba-ashram-kainchi-dham-nainital?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,How did police find Audi which flung a man in air after hitting him in Noida?,"Tuesday, 28 May, 2024","Noida Police have seized the Audi that hit a 63-year-old man out to buy milk, tossing him in the air and killing him on the spot. The police deployed seven teams to track the car and scanned through over 150 CCTV cameras. It was found parked in a parking lot in Delhi's Kidwai Nagar with Haryana number plate, police said.",https://www.ndtv.com/noida-news/audi-hit-and-run-noida-audi-that-ran-over-63-year-old-man-in-noida-seized-after-2-days-of-search-5764065/amp/1?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,No one will be spared: Maharashtra CM Shinde on Pune Porsche crash,"Tuesday, 28 May, 2024","While reacting to the Pune Porsche crash incident, in which two engineers died after a 17-year-old crashed his vehicle into their bike, Maharashtra CM Eknath Shinde said that ""no one will be spared"". ""No matter how rich or poor a person is, the law is equal for all...The two people who have died were also someone's children,"" CM Shinde added.",https://www.youtube.com/watch?ab_channel=TheIndianExpress&utm_campaign=fullarticle&v=zeMJoicXAvg&utm_medium=referral&utm_source=inshorts
national,Good bye Narendra Modi! 7 days left for fake fakir: Rahul Gandhi,"Tuesday, 28 May, 2024","Continuing his attack on Narendra Modi-led central govt Rahul Gandhi said, ""After June 4, Good Bye BJP, Good Bye Narendra Modi, Tata! Only 7 more days are left for the fake fakir who cheats the public. INDIA is getting votes - Khatakhat Khatakhat! The country will get freedom from BJP, ache din are about to come- Fatafat Fatafat!""",https://www.topindiannews.com/national/good-bye-narendra-modi-7-days-left-for-fake-fakir-rahul-gandhi-video-mkir-news-18213?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"3 members of a family found dead in Karnataka, murder suspected","Tuesday, 28 May, 2024","Three members of the same family were found dead under suspicious circumstances in Hosalingapur of Koppal taluk on Tuesday. The deceased are Rajeshwari (50), her daughter Vasantha (28), and Vasantha's son Saidharmathej (5). Vasantha had been living in a rented house in Hosalingapur with her mother and son.",https://newskarnataka.com/karnataka/koppala/koppal-three-members-of-a-family-found-dead-murder-suspected/28052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Senior AIMIM leader Virasat Rasool Khan passes away,"Tuesday, 28 May, 2024","Senior All India Majlis e Ittehadul Muslimeen leader and former MLA Virasat Rasool Khan, passed away due to health problems on Tuesday. He was associated with the AIMIM party for close to four decades. Virasat was first elected as a MLA from Charminar constituency in 1989. Later, he was elected from Nampally Assembly constituency in the year 2009.",https://www.siasat.com/senior-aimim-leader-virasath-rasool-khan-passes-away-3034045/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,169 colleges found 'suitable' by CBI to be re-examined: MP HC,"Tuesday, 28 May, 2024","In a major decision in the Nursing College Scam, the Madhya Pradesh High Court has ordered to re-examine 169 nursing colleges found 'suitable' in the report prepared by the CBI. Recently, the same CBI officer who had been investigating the infamous Madhya Pradesh Nursing College scam for three years was arrested while accepting a bribe.",https://www.freepressjournal.in/bhopal/mp-nursing-college-scam-169-nursing-colleges-found-suitable-in-cbi-report-to-be-re-examined-orders-mp-hc?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Delhi Court summons Atishi over BJP 'Poaching' defamation case,"Tuesday, 28 May, 2024","Delhi's Rouse Avenue Court has summoned AAP Minister Atishi on June 29 in a defamation case filed by BJP's Delhi media head, Praveen Shankar Kapoor. Atishi is accused of making false 'poaching' allegations. She questioned how BJP forms governments without a majority and why cases against BJP-joining leaders are closed. BJP's Bansuri Swaraj responded, saying AAP often makes false accusations.",https://www.thehawk.in/posts/delhi-court-summons-atishi-in-defamation-case-over-'poaching'-remark-against-bjp?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"Food poisoning from Biryani in Thrissur: 1 dead, 178 hospitalised","Tuesday, 28 May, 2024","In Thrissur, a biryani from a local restaurant caused 178 people to fall ill, leading to one death. After symptoms like vomiting and diarrhoea emerged, authorities shut down the unhygienic restaurant and launched an investigation. Food samples suggest mayonnaise in ""kuzhimanthi"" might be the cause. Legal actions are forthcoming.",https://newskarnataka.com/india/food-poisoning-from-biryani-in-thrissur-1-dead-178-hospitalized/28052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,K'taka HC upholds 5% service charge cap on app-based auto rides,"Tuesday, 28 May, 2024","The Karnataka High Court has upheld the state government's order capping the service charge levied on app-based auto rides at 5%. The order was challenged by ride-hailing platforms Ola, Uber and Rapido. ""The writ petitions stand dismissed...The aggregators would be entitled to collect service charges of up to 5% in addition to the fixed fare,"" the court said.",https://www.moneycontrol.com/news/business/karnataka-hc-dismisses-ola-uber-petitions-against-5-service-charge-cap-on-app-based-autorickshaws-12734031.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,3 Delhi-NCR weather stations record max temperature of nearly 50°C,"Tuesday, 28 May, 2024","Three weather stations in Delhi-NCR recorded a temperature of nearly 50°C on Tuesday, as per the India Metrological Department (IMD) data. While both Mungeshpur and Narela had a maximum temperature of 49.9°C, Najafgarh reported a temperature of 49.8°C. The data also showed that four other stations, Faridabad, Jafarpur, Pitampura and Pusa, reported a temperature of over 48°C.",https://rmcnewdelhi.imd.gov.in/press/press.php?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Israel's real aim in Rafah is Egypt not Hamas: Ex-Egyptian General,"Tuesday, 28 May, 2024","A former Egyptian General in an interview has claimed that Israel's real aim in Rafah is not Hamas but Egypt itself. Retired Brigadier General Samir Ragheb's remark came after clashes between Israel and Egypt near the Rafah crossing on Monday, which resulted in the death of an Egyptian soldier. Both countries' governments said the incident was being investigated.",https://www.youtube.com/watch?utm_campaign=fullarticle&v=ISqQR7Z7tL0&utm_medium=referral&utm_source=inshorts
national,Why will Dera chief Gurmeet Ram Rahim be in jail despite acquittal?,"Tuesday, 28 May, 2024",Dera Sacha Sauda chief Gurmeet Ram Rahim Singh has been acquitted in the murder of a manager in 2002 but will remain in jail due to convictions in two other criminal cases. He was convicted of two counts of rape in August 2017 and the murder of journalist Ram Chander Chhatrapati in 2019. He also allegedly castrated 400 male followers.,
national,"Mother slaps 11-year-old son repeatedly, sits on him in Haryana, father files complaint","Tuesday, 28 May, 2024","A man shared a video of his wife sitting on their 11-year-old son's chest and slapping him repeatedly in Faridabad, Haryana. He lodged a police complaint against her cruel behaviour and said that she threatened to poison herself and their son when he intervened. Identified as a doctor, she's very possessive and has installed CCTVs everywhere in house, he said.",https://www.freepressjournal.in/amp/india/haryana-shocking-video-cruel-mother-brutally-beats-11-year-old-son-in-faridabad-father-takes-legal-action?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,India needs a strong leader with respect: S Jaishankar,"Tuesday, 28 May, 2024","External Affairs Minister S Jaishankar on Tuesday said, ""The world is in a tense situation and the ongoing conflicts would not end so quickly."" ""That's why India needs a stable government, a strong and powerful leader with networking, standing and respect,"" he added. He further said that the electorates should wisely vote ""as similar conflicts could happen on our borders"".",https://www.news18.com/amp/world/global-conflicts-unlikely-to-end-quickly-nation-needs-stable-govt-jaishankar-8907390.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Video shows Rahul Gandhi pouring water on head mid-speech,"Tuesday, 28 May, 2024","A video showing Congress leader Rahul Gandhi pouring water on his head while addressing a rally surfaced. In the video, Rahul can be seen telling people ""it's too hot today"" and takes a water bottle and pours it in his head. His action got a loud cheer from the crowd. On Tuesday, Rahul Gandhi campaigned in Varanasi with Akhilesh Yadav.",https://www.youtube.com/watch?utm_campaign=fullarticle&v=3x6IF3-DYpo&utm_medium=referral&utm_source=inshorts
national,News24 exit poll predicting AAP win in West Delhi is a deepfake,"Tuesday, 28 May, 2024",A video purporting to show News24's Manak Gupta predicting AAP's candidate win from West Delhi in the Lok Sabha elections is fake and has been created using AI-generated voice clone of Gupta. BOOM found that the claims are false; both Manak Gupta and the verified handle of Today's Chanakya exit poll on X clarified that the video was a deepfake.,https://www.boomlive.in/fact-check/news24-manak-gupta-today-chanakya-exit-poll-fact-check-25449?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Court denies Umar Khalid bail in 2020 Delhi riots conspiracy case,"Tuesday, 28 May, 2024","The Delhi Court denied Umar Khalid's bail request in the 2020 Delhi riots case under UAPA. Khalid, a former JNU student leader, has been in custody since September 2020. He asked for bail due to delays and other accused getting bail. Special Judge Sameer Bajpai rejected his request again.",https://www.thehawk.in/posts/court-denies-bail-to-umar-khalid-in-delhi-riots-larger-conspiracy-case-2020?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Senior AIMIM leader Virasat Rasool Khan passes away in Hyderabad,"Tuesday, 28 May, 2024","Senior All India Majlis e Ittehadul Muslimeen leader and former MLA Virasat Rasool Khan, passed away due to health problems on Tuesday. He was associated with the AIMIM party for close to four decades and represented the Nampally constituency between 2009 and 2014. He is the brother of Vizarat Rasool Khan, a renowned educationist who passed away ten years ago.",https://www.siasat.com/senior-aimim-leader-virasath-rasool-khan-passes-away-3034045/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,'Chamchas' asking PM Modi how he eats mangoes in interviews: Rahul,"Tuesday, 28 May, 2024","Congress leader Rahul Gandhi criticised PM Narendra Modi's recent interviews, claiming that ""chamchas"" are asking him how he eats mangoes, if he cuts or peels them and if he washes them. He also commented on PM Modi's 'God sent me' remark, saying, ""Everyone else is biological...[PM Modi] isn't biological...upar se tapak kar aaye hai (he was dropped from the sky).""",https://x.com/ANI/status/1795392465807327289?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Did Rahul Gandhi say Congress wants to destroy Constitution?,"Tuesday, 28 May, 2024","A video purporting to show Rahul Gandhi saying the Congress party wants to destroy India's democracy and the Constitution while the BJP would protect the same, is fake and has been created by altering the audio of the viral clip. BOOM found that the video has been doctored by splicing and stitching together different parts of the audio.",https://www.boomlive.in/fact-check/fake-news-doctored-video-rahul-gandhi-india-alliance-destory-contitution-25448?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Special task force formed in Uttarakhand after Jain monks harassed,"Tuesday, 28 May, 2024","A video of a man harassing Digambar Jain monks in Uttarakhand goes viral, prompting police to form a Special Task Force. The culprit, a Tehri resident, faces charges under the IPC and IT Act. Monks, adhering to their faith, peacefully responded before leaving. The Uttarakhand DGP assures respect for all religions and vows strict action.",https://newskarnataka.com/india/uttarakhand-jain-monks-harassed-special-task-force-formed/28052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"Dalit sex abuse victim, whose brother was beaten to death, dies after fall from ambulance","Tuesday, 28 May, 2024","A Dalit woman, whose family was pressured to withdraw a sexual harassment case in MP's Sagar, died on Sunday. The woman's 18-year-old brother was beaten to death and her mother was stripped during a mob attack led by her harassers last year. Her uncle was recently beaten to death, while she died after falling from the ambulance carrying his body.",https://indianexpress.com/article/india/brother-uncle-beaten-to-death-now-dalit-victim-of-sexual-harassment-dies-after-falling-from-ambulance-9355594/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,We will repeal Agniveer scheme & throw it in dustbin: Rahul Gandhi,"Tuesday, 28 May, 2024","While addressing a rally in UP, Congress leader Rahul Gandhi criticised the Agniveer scheme and said, ""Prime Minister Narendra Modi has turned our soldiers into labourers."" Rahul said, ""We are against the Agniveer scheme. We will repeal the Agniveer scheme and throw it in dustbin."" He added, ""The youth of the country and jawans are being disrespected by this scheme.""",https://youtu.be/NfcnETTbnsQ?t=1658&utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,PM Modi to meditate at Vivekanada's spot after hectic campaign,"Tuesday, 28 May, 2024","Following the conclusion of the intense Lok Sabha 2024 election campaign on May 30, Prime Minister Narendra Modi is set to visit the iconic Vivekananda Rock Memorial in Kanyakumari, Tamil Nadu. This visit, intended as a spiritual retreat, will see PM Modi engaging in deep meditation at the Dhyan Mandapam, where Swami Vivekananda once meditated.",https://www.topindiannews.com/national/pm-modi-to-mediate-at-end-of-indian-land-after-hectic-election-campaign-mkir-news-18203?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Big tech opposes India's EU-like antitrust proposal,"Tuesday, 28 May, 2024","A US lobby group for tech giants like Google, Amazon, and Apple is urging India to rethink its EU-like new Digital Competition Bill. The law aims to control how big digital firms use data and treat partners. Concerns include higher user costs and less investment. The Indian government will review feedback before getting parliament's approval.",https://www.thehawk.in/posts/google-amazon-apple-lobby-group-opposes-india's-eu-like-antitrust-proposal?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Red heatwave warning issued for 7 states/UTs; IMD releases list,"Tuesday, 28 May, 2024","The IMD has issued a red heatwave alert for Rajasthan, Punjab, Haryana, Chandigarh, Delhi, West Uttar Pradesh, Madhya Pradesh for the next five days. An orange heatwave alert has been issued for Vidarbha and East Uttar Pradesh. Meanwhile, Jammu division, Himachal Pradesh, Chhattisgarh, Bihar, Jharkhand and Odisha have received a yellow heatwave warning from the weather department.",https://internal.imd.gov.in/press_release/20240528_pr_3025.pdf?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Doctors given ₹3 lakh to alter Porsche teen's blood sample: Report,"Tuesday, 28 May, 2024","In the Pune Porsche crash case, a peon and two doctors were arrested for allegedly manipulating the blood test report of 17-year-old accused Vedant Agarwal. According to a report by NDTV citing sources, the peon, Atul Ghatkamble, reportedly acted as a middleman, collecting a ₹3 lakh bribe from the Agarwal family intended for the two doctors.",https://www.connectedtoindia.com/pune-porsche-crash-usd-3606-paid-to-alter-blood-samples-of-accused-juvenile-says-report/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,PM Modi to meditate at Vivekananda Rock Memorial in Tamil Nadu,"Tuesday, 28 May, 2024","PM Modi will meditate at the Vivekananda Rock Memorial in Tamil Nadu on May 30. He'll spend 24 hours in meditation, emulating Swami Vivekananda. The site, near Tamil saint Tiruvalluvar's statue off Kanniyakumari's coast, awaits his visit. With Lok Sabha elections ending on June 1, Modi aims for a third term. Congress in opposition, Modi preps a 100-day agenda.",https://newskarnataka.com/india/pm-modi-to-meditate-at-same-spot-as-swami-vivekananda-in-kanniyakumari/28052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Popular Gurgaon influencer arrested for human trafficking,"Tuesday, 28 May, 2024","Bobby Kataria, a social media influencer, was arrested on charges of human trafficking and fraud. Police stated that Kataria deceived two UP residents by promising them job permits for UAE and Singapore in exchange for ₹4 lakh. Instead, the men were taken to Laos and forced to work in an illegal call centre, where their passports were confiscated.",https://www.shethepeople.tv/news/gurugram-influencer-bobby-kataria-arrested-for-human-trafficking-4653503?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,CBI charges Shahjahan Sheikh with attempted murder in Sandeshkhali,"Tuesday, 28 May, 2024","The CBI has charged suspended TMC leader Shahajahan Sheikh, his brother, and five others with conspiracy and attempted murder. This happened after a mob attacked an Enforcement Directorate team in Sandeshkhali on January 5. The charge sheet, filed in Basirhat court, is related to a ration distribution scam in West Bengal.",https://www.thehawk.in/posts/sandeshkhali:-cbi-slaps-attempt-to-murder-charges-against-shahjahan-sheikh?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Impersonator of Cannes Grand Prix winner Payal Kapadia viral on X,"Tuesday, 28 May, 2024","An account impersonating Indian filmmaker Payal Kapadia has gone viral on X, with many users, including a few celebrities and public figures, being misled into believing it's Kapadia's real account. BOOM found that the account does not belong to Kapadia, and has gone by several different handles before impersonating Kapadia with the username @PayalKapadial.",https://www.boomlive.in/fact-check/payal-kapadia-all-we-imagine-as-light-25419?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Assam CM orders closure of schools amid weather red alert,"Tuesday, 28 May, 2024","Assam Chief Minister Himanta Biswa Sarma announced the closure of schools in districts where weather red alert has been issued, including Nagaon, Hojai, and Golaghat, on May 29. With safety as the top priority, this proactive measure aims to protect students and citizens from potential risks. Citizens are urged to stay indoors and follow government advisories for their safety.",https://www.refersms.com/assam-cm-orders-closure-of-schools-amid-red-alert-for-severe-weather-2024-5-28/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,PM Modi to meditate where Swami Vivekananda meditated ahead of poll results,"Tuesday, 28 May, 2024","PM Narendra Modi will visit the Rock Memorial in Kanyakumari and will meditate at the same place where Swami Vivekananda did meditation. He will meditate from the evening of May 30 to the evening of June 1, before the results of the Lok Sabha elections are declared. The seven-phased polls began on April 19 and will end on June 1.",https://www.moneycontrol.com/elections/lok-sabha-election/pm-modi-to-meditate-at-vivekananda-rock-memorial-in-kanniyakumari-ahead-of-lok-sabha-poll-results-article-12734063.html/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,KCR wanted BJP's Santosh arrested to end Kavitha's ED case: Ex-DCP,"Tuesday, 28 May, 2024","Former Telangana CM K Chandrashekar Rao tried to use BRS MLA ""poaching case"" to get BJP leader BL Santhosh arrested, former DCP P Radha Kishan Rao, an accused in the phone-tapping case, claimed in his confession statement. He alleged that KCR did so to force the BJP to ""compromise"" to ""get rid"" of the ED case against daughter K Kavitha.",https://news.abplive.com/telangana/telegana-brs-mla-poaching-case-daughter-ed-probe-1690788/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Old Prega News ad viral as Congress Mahalaxmi Scheme campaign,"Tuesday, 28 May, 2024","An old video ad by Prega News, a pregnancy test kit brand has been edited and shared with the false claim that it's a new ad by the Congress party on the Mahalaxmi Scheme. BOOM found that the video shows a 2022 Women's Day ad by Prega News that has been edited to falsely claim it's a Congress campaign video.",https://www.boomlive.in/fact-check/fact-check-congress-mahalaxmi-scheme-ad-prega-news-ad-old-fake-news-25410?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Can't say you have explored India by just visiting Taj Mahal: PM,"Tuesday, 28 May, 2024","In an interview, PM Narendra Modi stated that there are several tourist destinations in India and just visiting the Taj Mahal doesn't amount to exploring India. ""We organised the G-20 Summit across the length and breadth of the country...The purpose and thinking behind this was to make the world aware that Delhi alone doesn't represent the country,"" PM Modi said.",https://www.freepressjournal.in/amp/india/by-visiting-taj-mahal-you-cant-think-youve-visited-whole-india-pm-modi-says-there-are-multiple-destinations-in-country-to-explore?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,What are the new driving license rules effective from June 1?,"Tuesday, 28 May, 2024","Driving license applicants will be able to take driving tests at accredited private driving schools from June 1, 2024, with 29-hour training period (over four weeks) for light vehicles. Fine for driving without valid licenses can go up to ₹2,000, while for minors caught driving, the penalty is ₹25,000. Fees for obtaining a learner's license has been revised to ₹200.",https://indianexpress.com/article/what-is/new-driving-license-rules-in-india-from-june-1-heres-all-you-need-to-know-9356575/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Landslides: Causes and prediction challenges,"Tuesday, 28 May, 2024","A devastating landslide hit remote villages in Enga province, Papua New Guinea. Between 690 and 2,000 people are estimated dead, with many missing. Search and rescue efforts face difficulties due to more slides and lack of machinery. Landslides are caused by earthquakes and heavy rain, making them hard to predict and prevent.",https://www.thehawk.in/posts/explained-or-what-causes-landslides-can-we-predict-them-to-save-lives?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Actress Taveras speaks out after Cannes Film Festival incident,"Tuesday, 28 May, 2024","At the Cannes Film Festival, actress Massiel Taveras clashed with a security guard while unveiling her dress's train, featuring an image of Jesus Christ. Despite the guard's attempt to stop her, Taveras succeeded and later called it 'the most powerful moment' of her life on Instagram, highlighting the viral impact of her Jesus-themed dress.",https://www.refersms.com/actress-massiel-taveras-speaks-out-after-cannes-film-festival-incident-2024-5-28/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Delhi court rejects Umar Khalid's bail plea in Delhi riots case,"Tuesday, 28 May, 2024",A Delhi court rejected the bail application of former JNU student leader Umar Khalid on Tuesday. The matter is linked to the 2020 Northeast Delhi riots. He is in jail since September 2020 under Unlawful Activities (Prevention) Act (UAPA). He requested bail on grounds of delay and sought relief on the grounds of parity with other accused in the case.,https://www.topindiannews.com/national/delhi-court-rejects-jnu-student-leader-umar-khalid-s-bail-plea-in-riots-case-news-18197?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,IRS officer held after partner's body found hanging in his flat,"Tuesday, 28 May, 2024","A young woman's body was discovered hanging from a noose in a luxurious Noida apartment in Sector 100 on May 26th. Saurabh Meena, an officer with the Indian Revenue Service (IRS), was taken into custody in connection with the woman's death. The deceased Shilpa Gautam worked as an HR at BHEL.",https://www.shethepeople.tv/news/irs-officer-arrested-after-woman-found-hanging-in-flat-saurabh-meena-4650931?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"I'll not sit quietly, will expose everyone: Doctor arrested in Pune Porsche case","Tuesday, 28 May, 2024","Dr Ajay Taware of Pune's Sassoon General Hospital, who has been arrested along with Dr Shrihari Harnol for allegedly changing the blood samples of the Pune minor boy accused in Porsche crash case, has issued a warning. ""I'll not sit quietly. I've warned that I will take everyone's names,"" he said. Police have arrested a middleman based on Taware's statement.",https://www.freepressjournal.in/mumbai/will-expose-everyone-warns-dr-ajay-taware-arrested-for-changing-blood-samples-to-save-minor-boy-in-pune-porsche-accident-case?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
